시도교육청,교육지원청,지역,정보공시 학교코드,학교명,학교급코드,설립구분,학교특성,분교여부,설립유형,주야구분,개교기념일,설립일,법정동코드,주소내역,상세주소내역,우편번호,학교도로명 우편번호,학교도로명 주소,학교도로명 상세주소,위도,경도,전화번호,팩스번호,홈페이지 주소,남녀공학 구분,폐교여부,폐교일자,휴교여부
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000637,백운초등학교,02,공립,,N,단설,주간,19820607,19811222,2629010700,부산광역시 남구 용호1동  산70번지,백운초등학교.,608091,48570,부산광역시 남구 동명로 76,"(용호동, 백운초등학교)",35.11845315,129.105678,051-7908-700,051-622-5271,https://school.busanedu.net/baekwoon-e,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000638,범일초등학교,02,공립,,N,단설,주간,19560401,19560401,2617010400,부산광역시 동구 범일4동   1411번지,범일초등학교.,601800,48761,부산광역시 동구 증산서로 55,"(범일동, 범일초등학교)",35.13948005,129.0501382,051-630-6000,051-647-9593,http://beom-il.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시서부교육지원청,부산광역시 중구,S020000639,보수초등학교,02,공립,,N,단설,주간,19530709,19530709,2611012000,부산광역시 중구 보수동1가 71~110,보수초등학교.,600802,48962,부산광역시 중구 흑교로 74,(보수동1가),35.10617661,129.0239674,051-255-7975,051-248-1151,http://bosu.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시서부교육지원청,부산광역시 중구,S020000640,봉래초등학교,02,공립,,N,단설,주간,19090604,18950523,2611010100,부산광역시 중구 영주동,봉래초등학교.,600811,48922,부산광역시 중구 대영로 226번길 15호,"(영주동,봉래초등학교)",35.1117501,129.0359802,051-719-1500,051-719-1599,http://pusanbongrae.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000641,분포초등학교,02,공립,,N,단설,주간,20020406,20010901,2629010700,부산광역시 남구 용호1동   176-68번지,분포초등학교.,608832,48516,부산광역시 남구 분포로 41,"(용호동, 분포초등학교)",35.12899885,129.1140403,051-626-4251,051-624-5186,http://www.bunpo.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000642,부산삼육초등학교,02,사립,,N,단설,주간,19490604,19490604,2641010300,부산광역시 금정구 청룡동 1~149,63-31.,609843,46213,부산광역시 금정구 금정도서관로 17,(청룡동),35.27278923,129.0946252,051-442-3691,051-442-3696,https://school.busanedu.net/bs36-e/main.do,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000643,석포초등학교,02,공립,,N,단설,주간,19660307,19660307,2629010600,부산광역시 남구 대연4동   969-17번지,석포초등학교.,608812,48532,부산광역시 남구 석포로86번길 76,"(대연동, 석포초등학교)",35.1265912,129.0915974,051-629-9200,051-624-3646,http://www.sukpo.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000644,성남초등학교,02,공립,,N,단설,주간,19460407,19460407,2617010400,부산광역시 동구 범일2동   305번지,성남초등학교.,601806,48737,부산광역시 동구 범일로53번길 14,"(범일동,성남초등학교)",35.13534288,129.0585823,051-646-9637,051-646-9755,https://school.busanedu.net/pusansungnam-e,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000645,성동초등학교,02,공립,,N,단설,주간,19520406,19520406,2629010900,부산광역시 남구 문현2동   497번지,성동초등학교.,608042,48410,부산광역시 남구 전포대로68번길 27,", 성동초등학교 (문현동)",35.14374205,129.0691418,051-950-1000,051-635-8444,http://www.esungdong.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000646,성천초등학교,02,공립,,N,단설,주간,19920506,19920506,2629011000,부산광역시 남구 우암동,성천초등학교.,608845,48467,부산광역시 남구 장고개로 64-41,(우암동),35.13109046,129.072051,051-645-8097,051-642-3337,www.sungchun.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000647,수성초등학교,02,공립,,N,단설,주간,19550428,19550428,2617010200,부산광역시 동구 수정5동   520번지,수성초등학교.,601816,48706,부산광역시 동구 망양로 807,", 수성초등학교 (수정동, 수성초등학교)",35.13464181,129.0428228,051-466-1837,051-466-9284,http://suseong.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000648,수정초등학교,02,공립,,N,단설,주간,19350401,19350401,2617010200,부산광역시 동구 수정동,수정초등학교.,601032,48780,부산광역시 동구 진성로 29,"(수정동,수정초등학교)",35.1311299,129.0461904,051-719-1800,051-466-1776,http://www.bsujeong.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000649,신연초등학교,02,공립,,N,단설,주간,19830930,19830122,2629011000,부산광역시 남구 우암1동 61~122,112-77번지 (유엔로25번길 66).,608842,48471,부산광역시 남구 유엔로35번길 46,(우암동),35.12931016,129.0779205,051-260-8620,051-639-7083,http://www.sinyeon.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000650,연포초등학교,02,공립,,N,단설,주간,19750301,19750301,2629010600,부산광역시 남구 대연6동,1788-2번지.,608819,48454,부산광역시 남구 못골로 17,", 연포초등학교 (대연동)",35.13729666,129.0840869,051-630-1000,051-630-1088,http://yeonpo.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000651,용당초등학교,02,공립,,N,단설,주간,19650615,19650615,2629010800,부산광역시 남구 용당동   360-1번지,용당초등학교.,608830,48548,부산광역시 남구 신선로 341,(용당동),35.11724762,129.0945391,051-624-4013,051-622-1624,http://yongdang.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000652,용산초등학교,02,공립,,N,병설,주간,19781220,19781220,2629010700,부산광역시 남구 용호동,382-1 용산초등학교.,608835,48582,부산광역시 남구 동명로 176번길 55,(용호동),35.11685718,129.1159726,051-610-7300,051-626-8307,http://school.busanedu.net/yong-san-e/main.do,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000654,용호초등학교,02,공립,,N,단설,주간,19640922,19640922,2629010700,부산광역시 남구 용호동,75-1 용호초등학교.,608832,48525,부산광역시 남구 용호로42번길 94,(용호동),35.12306383,129.1089731,051-718-2204,051-623-3214,http://yh.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000655,우암초등학교,02,공립,,N,단설,주간,19590401,19590401,2629011000,부산광역시 남구 우암1동,164번지 우암초등학교.,608844,48474,부산광역시 남구 우암로 190-19,"(우암동, 우암초등학교)",35.12573295,129.0758991,070-8709-2103,051-632-2928,http://www.uambusan.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 남구,S020000656,운산초등학교,02,공립,,N,단설,주간,19890120,19890120,2629010700,부산광역시 남구 용호2동   776번지,운산초등학교.,608092,48589,부산광역시 남구 용호로269번길 89,"(용호동, 운산초등학교)",35.11026835,129.1151222,051-626-1202,051-624-4975,http://www.unsan.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000657,좌성초등학교,02,공립,,N,단설,주간,19530630,19530630,2617010400,부산광역시 동구 범일동,좌성초등학교.,601060,48763,부산광역시 동구 증산동로 59,", 좌성초등학교 (범일동)",35.13735503,129.0521649,051-646-7246,051-645-0976,http://school.busanedu.net/jwasung-e/intro.do,남녀공학,Y,20210228,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000658,좌천초등학교,02,공립,,N,단설,주간,19720113,19720113,2617010300,부산광역시 동구 좌천동,좌천초등학교.,601826,601825,부산광역시 동구 증산서로 18,"(좌천동,좌천초등학교)",35.3121626,129.240259,051-647-2772,051-647-2773,www.joachun.es.kr,남녀공학,Y,20180301,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 동구,S020000660,초량초등학교,02,공립,,N,단설,주간,19370410,19370410,2617010100,부산광역시 동구 초량1동,994-13 초량초등학교.,601830,48811,부산광역시 동구 초량상로 49,"(초량동, 초량초등학교)",35.11642534,129.0361975,051-468-5115,051-466-3358,https://school.busanedu.net/chogyo-e,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000800,공덕초등학교,02,공립,,N,단설,주간,19460430,19460430,2641010100,부산광역시 금정구 두구동 224-1,공덕초등학교.,609370,46206,부산광역시 금정구 대두로 2,"(두구동,공덕초등학교)",35.29640425,129.1110617,051-508-2362,051-508-4761,http://www.kongduk.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000801,교동초등학교,02,공립,,N,단설,주간,19860605,19860129,2626010700,부산광역시 동래구 명륜동,교동초등학교.,607802,47756,부산광역시 동래구 시실로 73-13,", 교동초등학교 (명륜동)",35.21546466,129.0919211,051-6200-104,051-6200-170,www.kd.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000802,구서초등학교,02,공립,,N,단설,주간,19801230,19801230,2641010700,부산광역시 금정구 구서2동 구서초등학교,752,609711,46231,부산광역시 금정구 구서중앙로 35,"(구서동,구서초등학교)",35.25420558,129.087397,051-516-2994,051-516-2996,www.kuseo.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000803,금강초등학교,02,공립,,N,단설,주간,19720302,19720302,2626010800,부산광역시 동래구 온천3동 1263,금강초등학교.,607841,47852,부산광역시 동래구 사직북로28번길 125,"(온천동,금강초등학교)",35.20305389,129.0640572,051-590-0600,051-505-9874,http://www.geumgang.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000804,금사초등학교,02,공립,,N,단설,주간,19460601,19460601,2641011000,부산광역시 금정구 서3동 41-3,금사초등학교.,609828,46314,부산광역시 금정구 금사로57번길 24,,35.21967403,129.1096156,051-531-3594,051-523-8455,www.kumsa.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000805,금성초등학교,02,공립,,N,단설,주간,19370321,19370321,2641011300,부산광역시 금정구 금성동,금성초등학교.,609420,46237,부산광역시 금정구 중리1길 15,(금성동),35.25095728,129.0577669,051-517-5400,051-517-8690,http://school.busanedu.net/gumseang-e,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000806,금양초등학교,02,공립,,N,단설,주간,19990506,19990301,2641010900,부산광역시 금정구 부곡3동 63-27,금양초등학교.,609817,46275,부산광역시 금정구 중앙대로 1755,(부곡동),35.24134864,129.0919531,051-550-0400,051-550-0404,www.kumyang.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000807,금정초등학교,02,공립,,N,단설,주간,19470603,19470603,2641010800,부산광역시 금정구 장전3동 348-1,금정초등학교.,609839,46297,부산광역시 금정구 식물원로44번길 46,(장전동),35.22779381,129.0843171,051-719-5400,051-719-5490,http://www.gumjeong.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000808,낙민초등학교,02,공립,,N,단설,주간,19801226,19801226,2626010400,부산광역시 동래구 낙민동 303,낙민초등학교.,607040,47878,부산광역시 동래구 충렬대로272번길 34,"(낙민동,낙민초등학교)",35.1992802,129.0883616,051-712-5200,051-553-9896,http://nakmin.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000809,남산초등학교,02,공립,,N,단설,주간,19870301,19870301,2641010400,부산광역시 금정구 남산동 59-2,남산초등학교.,609714,46227,부산광역시 금정구 금강로 614,"(남산동, 남산초등학교)",35.26275995,129.0889217,051-550-5100,051-513-7451,http://www.pusannamsan.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000810,내산초등학교,02,공립,,N,단설,주간,19830301,19830301,2626010800,부산광역시 동래구 온천2동,700-1번지 내산초등학교.,607835,47732,부산광역시 동래구 중앙대로1335번길 38,"(온천동, 내산초등학교)",35.20739172,129.076562,051-792-0400,051-792-0498,http://www.naesan.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000811,내성초등학교,02,공립,,N,단설,주간,19070401,19070401,2626010500,부산광역시 동래구 복천동 72,내성초등학교.,607020,47804,부산광역시 동래구 동래로 173,(복천동) 내성초등학교,35.20459043,129.0896811,051-550-8600,051-550-8686,www.naesung.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000812,달북초등학교,02,공립,,N,단설,주간,19850301,19850301,2626010800,부산광역시 동래구 온천3동,1602번지 달북초등학교.,607840,47869,부산광역시 동래구 쇠미로 131,"(온천동,달북초등학교)",35.20350865,129.0599504,051-7900-500,051-502-7981,http://www.dalbuk.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000813,동래초등학교,02,사립,,N,단설,주간,19650114,19650114,2641010900,부산 금정구 구서동 산,57-12.,609310,46251,부산광역시 금정구 체육공원로44번길 26,", 동래초등학교 (구서동)",35.24704709,129.0990509,051-581-0901,051-581-0903,http://www.dongrae.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000814,동상초등학교,02,공립,,N,단설,주간,19750301,19750301,2641011000,부산광역시 금정구 서2동   235,동상초등학교.,609402,46335,부산광역시 금정구 옥봉로 5,"(서동, 동상초등학교)",35.21155795,129.1078782,051-923-6500,051-528-5583,http://dongsang.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000815,동현초등학교,02,공립,,N,단설,주간,19771230,19771230,2641010900,부산광역시 금정구 부곡1동 337,동현초등학교.,609321,46305,부산광역시 금정구 동현로 36,"(부곡동, 동현초등학교)",35.22242354,129.0928464,051-960-5700,051-960-5704,http://bs-donghyun.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000816,명동초등학교,02,공립,,N,단설,주간,19870301,19870301,2626010100,부산광역시 동래구 명장1동,461번지 명동초등학교.,607809,47767,부산광역시 동래구 명장로63번길 60-5,"(명장동, 명동초등학교)",35.20760021,129.1062168,051-550-5700,051-527-8120,www.mdong.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000817,명륜초등학교,02,공립,,N,단설,주간,19170505,19170505,2626010700,부산광역시 동래구 명륜1동   228,명륜초등학교.,607804,47748,부산광역시 동래구 동래로 91,"(명륜동,명륜초등학교)",35.20801439,129.0833282,051-713-6800,051-713-6819,http://school.busanedu.net/myeongryun-e/main.do,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000818,명서초등학교,02,공립,,N,단설,주간,19850126,19850126,2626010100,부산광역시 동래구 명장2동   502-1,명서초등학교.,607811,47760,부산광역시 동래구 명서로 121,"(명장동, 명서초등학교)",35.21202942,129.1008718,051-524-7837,051-526-4767,www.myongseo.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000819,명장초등학교,02,공립,,N,단설,주간,19830127,19830127,2626010100,부산광역시 동래구 명장동,273-1번지 명장초등학교.,607807,47749,부산광역시 동래구 복천로 121,"(명장동, 명장초등학교)",35.20820385,129.0965702,051-529-0644,051-529-0646,http://myungjang.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000820,미남초등학교,02,공립,,N,단설,주간,19840406,19840301,2626010800,부산광역시 동래구 온천3동 1460-1,미남초등학교.,607063,47826,부산광역시 동래구 충렬대로100번길 83,"(온천동, 미남초등학교)",35.20368885,129.0728314,051-504-9666,051-503-3854,http://minam.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000821,부곡초등학교,02,공립,,N,단설,주간,19690929,19690301,2641010900,부산광역시 금정구 부곡2동 241-1,부곡초등학교.,609322,46269,부산광역시 금정구 기찰로22번길 15,"(부곡동, 부곡초등학교)",35.23369275,129.0936061,051-580-4800,051-580-4899,http://www.pugok.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000822,사직초등학교,02,공립,,N,단설,주간,19770901,19770901,2626010900,부산광역시 동래구 사직동,사직초등학교.,607122,47872,부산광역시 동래구 쇠미로81번길 7,"(사직동, 사직초등학교)",35.20088515,129.0541839,051-500-3200,051-506-0929,http://www.sajik.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000823,서곡초등학교,02,공립,,N,단설,주간,19840130,19840130,2641011000,부산광역시 금정구 서동,서곡초등학교.,609828,46312,부산광역시 금정구 윤산로 279,"(서동, 서곡초등학교)",35.22049859,129.104823,051-524-8102,051-529-1131,http://ps-seogok.es.kr,남녀공학,Y,20220228,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000824,서동초등학교,02,공립,,N,단설,주간,19800506,19800506,2641011000,부산광역시 금정구 서1동,505-10.,609834,46319,부산광역시 금정구 동현로 147,"(서동, 서동초등학교)",35.2194961,129.0976645,051-985-3200,051-985-3233,http://www.seodong.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000825,서명초등학교,02,공립,,N,단설,주간,19931110,19930301,2641011000,부산광역시 금정구 서1동,302-1953번지.,609834,46324,부산광역시 금정구 명서로 48,", 서명초등학교 (서동)",35.21522849,129.0952586,051-520-5300,051-529-6606,http://www.seomyeong.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000826,수안초등학교,02,공립,,N,단설,주간,19860425,19860425,2626010600,부산광역시 동래구 수안동 7-1,수안초등학교.,607822,47819,부산광역시 동래구 온천천로 215,"(수안동, 수안초등학교)",35.20051422,129.0803348,051-550-8700,051-554-3365,http://suan.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000827,안남초등학교,02,공립,,N,단설,주간,19840301,19840301,2626010200,부산광역시 동래구 안락2동   175-16,안남초등학교.,607825,47905,부산광역시 동래구 연안로 46,"(안락동, 안남초등학교)",35.19188312,129.1083489,051-520-6600,051-520-6670,http://annam.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000828,안락초등학교,02,공립,,N,단설,주간,19750301,19750301,2626010100,부산광역시 동래구 명장1동 104-5,안락초등학교.,607808,47779,부산광역시 동래구 명안로53번길 22,"(명장동, 안락초등학교)",35.20187016,129.1032428,051-713-8500,051-526-7708,anrak.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000829,안민초등학교,02,공립,,N,단설,주간,19980901,19980901,2626010400,부산광역시 동래구 낙민동,연안길 130 안민초등학교.,607040,47903,부산광역시 동래구 온천천로381번길 19,"(낙민동,안민초등학교)",35.19416312,129.0941191,051-580-4500,051-580-4599,http://www.anmin.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000830,여고초등학교,02,공립,,N,단설,주간,19840330,19840330,2626010900,부산광역시 동래구 사직동,여고초등학교.,607816,47843,부산광역시 동래구 여고로63번가길 12,"(사직동, 여고초등학교)",35.19783708,129.0691256,051-590-0500,051-590-0598,http://www.yeogo.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000831,온천초등학교,02,공립,,N,단설,주간,19670228,19670228,2626010800,부산광역시 동래구 온천2동 397-4,온천초등학교.,607062,47725,부산광역시 동래구 충렬대로107번길 124,"(온천동, 온천초등학교)",35.21243679,129.0736994,051-550-7800,051-550-7809,http://www.onchun.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000832,장서초등학교,02,공립,,N,단설,주간,19830824,19830824,2641010700,부산광역시 금정구 구서1동,장서초등학교.,609807,46242,부산광역시 금정구 금강로 453,", 장서초등학교 (구서동)",35.24803857,129.0853868,051-515-3606,051-515-3962,http://www.jangseo.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000833,장전초등학교,02,공립,,N,단설,주간,19770901,19770810,2641010800,부산광역시 금정구 장전동,장전초등학교.,609726,46247,부산광역시 금정구 수림로 90,"(장전동, 장전초등학교)",35.24138422,129.0829975,051-797-9200,051-797-9299,http://www.jangjeon.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000834,청룡초등학교,02,공립,,N,병설,주간,19080501,19080501,2641010300,부산광역시 금정구 청룡동   46,청룡초등학교.,609843,46218,부산광역시 금정구 팔송로 6,"(청룡동, 청룡초등학교)",35.2726657,129.0915057,051-580-9303,051-580-9309,http://www.cheongryong.es.kr/,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000835,현곡초등학교,02,공립,,N,단설,주간,19840130,19840130,2641010900,부산광역시 금정구 부곡2동,658-18.,609862,46270,부산광역시 금정구 동부곡로27번라길 20,"(부곡동, 현곡초등학교)",35.22686266,129.0966944,051-512-0710∼1,"051-515-0482, 0457",https://school.busanedu.net/hyungok-e,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 동래구,S020000836,혜화초등학교,02,사립,,N,단설,주간,19650127,19650127,2626010100,부산광역시 동래구 명장동,혜화초등학교.,47769,47769,부산광역시 동래구 명장로99번길 25,"(명장동, 혜화초등학교)",35.20248467,129.1128191,051-531-1667,051-524-5371,http://www.hyehwa.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시동래교육지원청,부산광역시 금정구,S020000837,회동초등학교,02,공립,,N,단설,주간,19820301,19820301,2641011200,부산광역시 금정구 회동동,435-6번지.,609845,609845,부산광역시 금정구 금사로 217,"(회동동,회동초등학교)",35.2301469,129.1205879,719-5330,051-719-5399,http://hoedong.es.kr/,남녀공학,Y,20180301,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 부산진구,S020000989,가남초등학교,02,공립,,N,단설,주간,19730301,19730301,2623011000,,.,,47332,부산광역시 부산진구 엄광로 325,(가야동),35.15410818,129.0443563,051-893-2702,051-893-2726,www.ga-nam.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 부산진구,S020000990,가산초등학교,02,공립,,N,단설,주간,19790507,19790507,2623011000,부산광역시 부산진구 가야동,가산초등학교.,614803,47339,부산광역시 부산진구 엄광로182번길 49,"(가야동, 가산초등학교)",35.14637303,129.0354733,051-892-9765,051-891-5979,http://pusangasan.es.kr,남녀공학,Y,20250228,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 부산진구,S020000991,가야초등학교,02,공립,,N,단설,주간,19481101,19481101,2623011000,부산광역시 부산진구 가야3동,가야좌3로 34번지 가야초등학교.,614803,47330,부산광역시 부산진구 대학로 22,"(가야동, 가야초등학교)",35.15331513,129.0351546,051-892-3515,051-891-0859,http://www.ka-ya.es.kr,남녀공학,N,,N
부산광역시교육청,부산광역시남부교육지원청,부산광역시 부산진구,S020000992,가평초등학교,02,공립,,N,단설,주간,19770901,19770901,2623011000,부산광역시 부산진구 가야2동 649-19,가평초등학교.,614801,47385,부산광역시 부산진구 가야대로482번길 87,"(가야동, 가평초등학교)",35.14856033,129.0250606,051-895-1351,051-895-1353,http://school.busanedu.net/busangapyeong-e/main.do,남녀공학,N,,N
